procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 15 752272 295620 154644 5309456    0    0 11888  9510 4985 22647  4  3 62 32  0
 0 20 752272 294400 154652 5310408    0    0 11568 10042 5095 22615  4  2 61 34  0
 0 17 752268 294132 154652 5311388    0    0 11440  8950 4644 20505  3  1 62 34  0
 1 16 752264 291528 154652 5312224    0    0 11640  9561 5059 22291  3  2 62 32  0
 1 15 752260 290396 154652 5313496    0    0 10368  9022 4843 19895  3  2 64 32  0
 0 16 752260 290764 154652 5314304    0    0  7632  7419 3865 15437  2  2 64 32  0
 1 15 752260 290032 154660 5315100    0    0 10768  8563 4673 19787  3  2 62 33  0
 1 16 752260 289284 154660 5315852    0    0 11456  9460 4929 21884  3  2 61 34  0
 2 15 752256 287028 154660 5316792    0    0 11984  9584 5122 22103  3  3 64 29  0
 2 16 752256 285928 154660 5317784    0    0 11172  8610 4895 20435  3  3 59 35  0
 2 14 752248 285088 154660 5318592    0    0 12176  9376 5276 22281  4  3 58 36  0
 0 17 752248 284088 154668 5319612    0    0 11520  9143 4779 21031  3  2 59 36  0
 2 14 752248 284628 154668 5320628    0    0 11472  9272 4935 22259  3  3 62 33  0
 5 12 752248 283884 154668 5321584    0    0 11104  9193 4838 22485  3  2 61 34  0
 0 17 752248 282360 154668 5322556    0    0 12608  9764 4950 23254  3  1 65 31  0
 2 17 752248 281852 154668 5323508    0    0 11488  8798 4527 20556  3  3 61 33  0
 2 16 752248 279608 154676 5324456    0    0 11168  9324 4641 21949  3  2 60 35  0
 0 17 752248 279460 154676 5325300    0    0 11392  9135 5194 22292  3  2 62 32  0
 2 12 752248 278276 154676 5326232    0    0 11744  9293 4846 22774  3  2 62 33  0
 2 15 752248 278380 154676 5327120    0    0 11872  9368 4786 22019  3  2 61 34  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 16 752248 276008 154676 5328120    0    0 12256  9952 5055 23842  3  3 57 37  0
 3 15 752248 277100 154684 5329324    0    0 12352  9374 5097 22755  4  3 61 32  0
 2 16 752244 274832 154684 5330120    0    0 11536  8563 4590 20165  3  2 62 33  0
 1 15 752244 274620 154684 5331008    0    0 11200  9060 4635 21835  3  2 61 34  0
 3 14 752244 274268 154684 5331792    0    0 11712  9108 4662 21322  3  2 59 36  0
 3 15 752240 273260 154684 5332800    0    0 11424  8748 4669 21003  3  3 60 34  0
 2 17 752240 272596 154692 5333604    0    0 11808  8782 4834 21327  3  3 60 34  0
 2 15 752240 271068 154692 5334460    0    0 11440  8562 4544 20633  3  2 63 31  0
 3 15 752240 270268 154692 5335240    0    0 11280  8939 4655 21625  3  2 60 35  0
 2 13 752240 269872 154692 5336152    0    0 11584  8878 4524 21291  3  2 61 34  0
 1 16 752236 269168 154692 5337180    0    0 11696  9557 5075 23044  3  2 60 35  0
 3 13 752236 269076 154700 5338092    0    0 11952  8730 4863 21128  3  2 61 35  0
 2 17 752236 268796 154700 5338824    0    0 11920  8912 4655 21530  3  2 61 34  0
 0 16 752228 265908 154700 5339652    0    0 11440  8846 4702 21674  3  2 60 35  0
 3 14 752228 265860 154700 5340552    0    0 12496  9606 4795 23194  3  2 62 33  0
 3 14 752228 265412 154700 5341576    0    0 11904  9337 5270 22343  3  3 57 36  0
 0 17 752220 263948 154708 5342600    0    0 11824  9172 4553 21356  3  2 59 35  0
 2 15 752220 263468 154708 5343672    0    0 11984  9140 4657 22111  3  2 56 38  0
 0 16 752232 302476 154648 5302328    0   20 11488  9185 5341 22208  3  2 61 33  0
 1 16 752232 302248 154648 5303244    0    0 11392  8731 5520 21557  3  2 59 35  0
 1 17 752232 300788 154648 5304272    0    0 11456  9022 5522 22455  3  3 61 32  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 16 752228 298960 154656 5305200    0    0 11680  9224 5333 22434  3  2 63 31  0
 1 17 752228 297504 154656 5306128    0    0 11632  8638 4833 21483  3  2 62 33  0
 3 15 752228 296856 154656 5307032    0    0 12256  9584 5452 23526  3  2 62 32  0
 3 13 752228 296084 154656 5308088    0    0 12176  9326 4981 23347  4  2 60 34  0
 0 15 752224 295980 154656 5309188    0    0 11408  8485 4886 20515  3  2 57 38  0
 0 18 752224 294292 154664 5310024    0    0 11456  8468 4724 21062  3  2 59 36  0
 1 17 752224 295532 154664 5310812    0    0 12320  8722 4934 21422  3  2 58 37  0
