procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 15 821160 267656 142008 5450464   56    0  9336 20713 4524 16643  2  1 59 37  0
 1 15 821136 267520 142016 5450496   20    0  9796 20620 5544 16770  2  1 60 37  0
 2 15 821120 268132 142016 5450556    4    0  9492 21365 6467 17494  2  1 61 36  0
 3 14 821116 267216 142016 5450576   12    0  9804 21009 5984 17029  2  1 60 37  0
 0 16 821104 267480 142016 5450628   20    0  8900 20869 5645 15646  2  1 60 37  0
 3 13 821092 267348 142016 5450564   24    0  9272 20853 4906 17318  3  1 59 37  0
 1 15 821076 268444 142036 5450596    0    0 10280 20689 5889 18691  3  1 61 35  0
 0 16 821044 267668 142036 5450636   44    0  9292 20919 5029 16484  2  1 66 31  0
 2 16 820996 268340 142036 5450548   68    0  9956 20751 5281 18047  3  1 62 34  0
 0 16 820964 267260 142036 5450640   44    0  9772 20567 4884 16853  2  1 58 39  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 15 820920 267952 142036 5450688   60    0  9756 20858 5894 16818  3  1 58 39  0
 0 16 820892 267448 142044 5450740   40    0  9800 20709 4500 16740  2  1 61 35  0
 1 15 820880 267384 142044 5450812    0    0  9648 21184 4809 17298  2  1 65 32  0
 2 14 820860 267664 142044 5450848   32    0  9712 20802 5792 17093  3  1 63 34  0
 0 16 820840 267640 142044 5450820   16    0  9328 20906 5917 16828  2  1 66 31  0
 1 15 820816 267232 142044 5450856   40    0 10872 20794 5594 17908  2  1 63 33  0
 1 15 820780 267360 142052 5450884   72    0  9992 20568 5655 17191  3  1 61 35  0
 2 15 820732 268096 142052 5450912   36    0  9492 21018 5443 16411  3  1 58 39  0
 1 16 820696 268320 142052 5450944   28    0  9948 21131 4551 17213  2  1 64 33  0
