procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 17  76428 1958732 241008 2070756    0    0 14748     0 5176 28757  2  1 60 37  0
 3 16  76428 1956768 241008 2070544    0    0 68340    24 7807 44732  2  2 57 39  0
 0 18  76428 1962248 241008 2068448    0    0 12256     0 4785 24633  2  1 57 40  0
 1 20  76428 1965348 241008 2068972    0    0 12836     0 4652 24072  1  1 54 44  0
 0 20  76428 1965256 241008 2069724    0    0 15180     0 5367 27571  2  1 54 43  0
 1  9  76428 1964980 241008 2070440    0    0 15148     0 5691 29257  2  1 56 41  0
 0 18  76428 1958608 241012 2070588    0    0 71000    24 8050 46975  2  3 49 46  0
 0 19  76428 1964848 241012 2068280    0    0  9664     0 3553 18704  1  1 50 48  0
 0 20  76428 1963884 241012 2068740    0    0 15572     0 5235 27619  2  1 47 50  0
 0 21  76428 1967332 241012 2069448    0    0 15760     0 6068 29040  2  1 49 48  0
 0 18  76428 1966776 241012 2070264    0    0 15280     0 5478 28382  2  1 48 49  0
 0 18  76428 1958448 241016 2070080    0    0 69824   162 8420 48246  2  2 46 50  0
 1 20  76428 1963060 241016 2067884    0    0 10828     0 3677 20718  2  2 53 43  0
 1 19  76428 1965340 241016 2068536    0    0 13744     0 4674 25788  2  1 53 44  0
 2 18  76428 1964292 241016 2069440    0    0 15600     0 5234 27382  2  1 55 42  0
 0 18  76428 1964032 241016 2070296    0    0 13900     0 4721 26299  2  1 57 41  0
 0 19  76428 1951648 241024 2070040    0    0 72936   204 7690 44497  2  3 56 40  0
 0 16  76428 1956384 241024 2067944    0    0  9812     0 3231 18379  1  1 54 44  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 21  76428 1956308 241024 2068760    0    0 13552     0 4548 24209  2  3 56 40  0
 2 18  76428 1959372 241024 2069184    0    0 15292     0 5161 27554  2  1 55 41  0
 2 16  76428 1956592 241024 2070124    0    0 14904     0 5429 28303  2  1 51 46  0
 0 19  76428 1980564 241024 2070256    0    0 70632    36 8395 42242  2  3 48 48  0
 1 18  76428 1987992 241024 2067804    0    0 11244     0 3565 20569  2  1 46 51  0
 2 20  76428 1985536 241024 2068616    0    0 16112     0 5471 30486  2  2 52 44  0
 0 20  76428 1987932 241024 2069204    0    0 15412     0 5498 28552  2  1 55 42  0
 0 18  76428 1987016 241024 2070116    0    0 16024     0 5321 29081  2  1 56 41  0
 0 19  76428 1968268 241024 2070068    0    0 76944    38 7779 45477  2  2 54 42  0
 1 17  76428 1971728 241024 2068048    0    0 10284     0 3671 19001  1  1 54 43  0
 0 21  76428 1975360 241024 2068640    0    0 13856     0 4153 23888  2  1 49 48  0
 0 18  76428 1977700 241024 2069648    0    0 15264     0 5149 27761  2  1 55 42  0
 0 12  76428 1978780 241024 2070392    0    0 14148     0 4553 25862  2  1 60 38  0
 0 18  76428 1973960 241024 2070604    0    0 68656    22 6996 41136  1  2 56 41  0
 2 16  76428 1981944 241024 2068144    0    0 12164     0 3791 21320  2  2 55 41  0
 1 20  76428 1984648 241024 2068668    0    0 14324     0 5100 26181  2  2 56 41  0
 0 20  76428 1986612 241024 2069448    0    0 15428     0 4965 28443  2  1 54 43  0
 2 19  76428 1983732 241024 2070300    0    0 14856     0 4611 26762  2  1 58 39  0
 3 15  76428 1974996 241024 2069840    0    0 74376    24 8266 45867  2  2 60 36  0
 0 20  76428 1978864 241024 2067944    0    0 11744     0 3728 20062  1  1 46 52  0
 1 18  76428 1980156 241024 2068908    0    0 13952     0 4730 24672  2  1 49 48  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 18  76428 1980488 241024 2069828    0    0 15332     0 5252 28505  2  1 55 42  0
 1 17  76428 1981316 241024 2070736    0    0 15984     0 5239 29966  2  2 58 38  0
 2 16  76428 1968712 241032 2071240    0    0 76052   162 7115 44125  2  3 58 37  0
 0 21  76428 1974412 241032 2067792    0    0 11920     0 3676 20920  2  1 53 44  0
 0 20  76428 1977344 241032 2068916    0    0 13020     0 4347 22205  1  1 51 47  0
 2 18  76428 1976352 241032 2069852    0    0 15508     0 5583 28555  2  1 53 44  0
 0 18  76428 1976540 241032 2070472    0    0 14384     0 4702 25481  2  1 52 46  0
 0 18  76428 1965168 241036 2070056    0    0 81868    22 7714 47171  2  3 49 46  0
 1 16  76428 1968796 241036 2067708    0    0 10128     0 3308 18002  1  1 52 46  0
 1 21  76428 1971284 241036 2068596    0    0 14800     0 5038 26484  2  1 53 44  0
 0 18  76428 1971832 241036 2069508    0    0 16832     0 5728 30420  2  1 54 43  0
 1 18  76428 1972896 241036 2070456    0    0 15076     0 4955 26615  2  1 52 45  0
 0 18  76428 1966732 241036 2071268    0    0 79768   234 7407 46252  2  2 57 39  0
 2 17  76428 1971476 241036 2068528    0    0  9464     0 3413 16490  1  3 48 47  0
 0 20  76428 1973232 241036 2069560    0    0 13772     0 5024 25412  2  4 58 36  0
 1 20  76428 1974156 241036 2070496    0    0 17888     0 5886 32323  2  1 54 43  0
 0 18  76428 1974872 241036 2071564    0    0 14864     0 5322 27265  2  1 54 44  0
 0 18  76428 1962768 241044 2071780    0    0 84224    68 8454 51408  2  3 52 44  0
 3 17  76428 1970372 241044 2068200    0    0  9740     0 3291 17333  1  1 55 43  0
 0 20  76428 1972496 241044 2068936    0    0 14200     0 4943 25698  1  1 54 43  0
 1 19  76428 1972936 241044 2069920    0    0 14936     0 4736 25594  1  1 52 46  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 18  76428 1972668 241044 2071016    0    0 15900     0 5334 29533  2  1 56 40  0
 0 18  76428 1969452 241044 2071792    0    0 81984    24 8439 50700  2  2 53 42  0
 0 21  76428 1974972 241044 2067960    0    0 11360     0 3639 20000  2  4 56 38  0
 1 19  76428 1976264 241044 2069052    0    0 14520     0 4921 25742  2  1 49 48  0
 2 18  76428 1978072 241044 2069980    0    0 15080     0 4740 27024  2  1 53 44  0
 0 18  76428 1978952 241044 2070756    0    0 15432     0 5101 29536  2  1 59 38  0
 1 18  76428 1971388 241044 2070380    0    0 77980    24 7938 48231  2  5 52 41  0
 0 20  76428 1976280 241044 2067992    0    0 11224     0 3801 20390  2  3 58 37  0
 2 19  76428 1977172 241044 2068832    0    0 13444     0 4408 24127  2  1 51 47  0
 0 17  76428 1980968 241044 2069540    0    0 15624     0 5511 29187  2  1 52 45  0
 0 18  76428 1981700 241044 2070348    0    0 15848     0 5338 29744  2  1 54 43  0
 0 18  76428 1969252 241052 2070144    0    0 78820   168 7980 50843  2  3 56 39  0
