procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 18 138868 2190492 198216 1557168    0    0 162856   136 8384 32333  1  8 46 45  0
 0 22 138868 2100920 198216 1572244    0    0 170368     0 11274 52516  0  2 49 49  0
 0 16 138868 2078068 198216 1567124    0    0 152156     0 10865 42004  0  1 49 50  0
 0 23 138868 1990708 198220 1578144    0    0 144784    32 10831 49712  0  1 44 54  0
 0 26 138864 1859036 198220 1621540    4    0 151428     0 11020 50822  0  1 53 45  0
 0 20 138864 1832512 198220 1617416    0    0 148628    52 11651 49027  0  2 45 53  0
15 22 138864 1785252 198220 1608716    4    0 118232     0 6900 34827  0  2 64 34  0
 0 22 138864 1696080 198220 1618252    0    0 171280     0 11481 51685  0  2 50 48  0
 1 19 138860 1584712 198228 1632264    0    0 161332    28 11446 57523  1  3 51 44  0
 1 24 138860 1123088 198228 1780580    0    0 185636     0 12852 85723  2  7 48 44  0
 1 13 138860 1669644 198228 1897548    0    0 178716    12 13905 60523  2 17 49 32  0
 0 22 138852 1598044 198228 1914380    0    0 151692     0 9521 35884  1  3 59 36  0
 2 24 138852 1508240 198228 1920008    0    0 178668     0 11347 65377  1  4 50 45  0
 3 17 138852 1360884 198232 1962964    0    0 199556    28 11317 62237  2  6 50 43  0
 3 18 138848 1165272 198232 2036844    0    0 204800     0 11598 66588  2  7 44 47  0
 6 11 138848 1142916 198232 2011408    0    0 216096    12 12809 69669  1  7 53 38  0
 0 21 138848 976720 198232 2035424    0    0 207760     0 12103 75223  1  6 52 41  0
28 17 138844 945536 198232 2019768    0    0 235432     0 11421 70878  0  4 52 44  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
23 23 138844 767484 198232 2050004    0    0 212500    24 12357 77285  1  5 45 49  0
 1 12 138844 759776 198232 2021396    0    0 214048     0 12468 66597  1  6 50 42  0
 3 18 138844 705956 198232 1995508    0    0 219720     0 12800 75374  2  7 50 41  0
 0 23 138844 330524 198232 2121584    0    0 225600     0 12714 90801  2  7 48 44  0
 1  6 138844 289848 198232 2112268    0    0 62552     0 5225 28504  0  2 56 42  0
 1 15 140912 360164 191396 2078472    0 2068 275912  2092 12873 56053  1  7 55 37  0
 1  7 140912 1278728 191396 2246588    0    0 184920     0 10449 43263  1 23 45 31  0
 1  6 140912 1153012 191396 2300472    0    0 185408    16 8963 29002  1  5 79 15  0
 2  6 140912 1001048 191396 2363756    0    0 184352     0 7904 22689  1  5 76 18  0
 1  6 140912 945444 191396 2385092    0    0 174548     0 9293 30987  1  5 75 19  0
 1  6 140912 860908 191396 2411084    0    0 188128    36 9209 34648  1  5 74 19  0
 1  4 140912 835316 191396 2403992    0    0 180444     0 11343 47148  1  6 79 14  0
 0  6 140912 812444 191396 2374440    0    0 196528   124 11061 46834  0  3 77 19  0
 0  6 140912 713748 191396 2399848    0    0 187024     0 8947 25743  0  2 77 21  0
 0  6 140912 690724 191396 2400532    0    0 184928     0 9795 38244  0  2 77 21  0
 0  4 140912 722240 191400 2356908    0    0 177420    48 12529 61003  0  3 80 17  0
 0  4 140912 742576 191420 2328584    0    0 165308     0 11695 57813  0  2 81 17  0
 3  6 140912 747720 191420 2303388    0    0 165916   152 11875 53046  0  3 73 25  0
 0  5 140912 775964 191420 2263044    0    0 168760     0 11537 54453  0  3 74 23  0
 1  5 140912 816188 191420 2202692    0    0 171636     0 11825 58316  0  3 76 20  0
 4  3 140912 894092 191424 2112488    0    0 170996    40 11784 58642  0  4 79 17  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  4 140912 954776 191424 2031820    0    0 199508     0 11937 61588  0  4 80 16  0
 0  5 140912 993464 191424 1984448    0    0 77304    40 5128 31936  0  2 78 20  0
 4  4 140912 1080480 191424 1877912    0    0 169792     0 6193 53200  0  3 77 20  0
10  4 140912 1152392 191424 1805544    0    0 177356     0 11009 56777  0  3 81 17  0
 2  3 140912 1275136 191424 1688368    0    0 214000    28 12663 68601  1  7 82 10  0
 1  3 140908 1452048 191424 1526684   16    0 197796     0 12280 63277  1  7 80 11  0
 2  3 140908 1661916 191424 1366852    0    0 205556    16 12045 63187  1  7 82 10  0
 0  4 140908 1707580 191424 1348252    0    0 42416     0 4432 27976  1  3 81 16  0
 0 19 140900 1885464 191424 1332496    0    0 278204     0 17918 101377  0  7 61 32  0
 0 18 140900 1998256 191428 1349272    0    0 165136    36 11986 64009  1  4 48 47  0
 0 11 140900 2038796 191428 1346944    0    0 152016     0 10793 44355  0  3 55 42  0
 1 23 140888 1962912 191428 1353084    8    0 169248     0 11215 49698  0  3 51 45  0
 1 23 140884 1932732 191428 1352500    4    0 158788     0 10029 42104  0  2 44 53  0
 0 19 140884 1941172 191428 1345168    0    0 133868     0 7726 45876  0  2 46 52  0
 0 20 140884 1910588 191436 1360108    0    0 123432    20 7200 36340  0  1 55 43  0
 0 19 140884 2033524 191436 1370616    0    0 216500     0 10834 51000  0  7 58 35  0
 0 20 140880 1981976 191436 1363004    0    0 188712     0 11540 49577  0  3 43 54  0
