procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 16 142828 2474784 169376 1239360    0    0 143144     0 7364 55634  0  3 67 30  0
37 13 142828 2472476 169376 1248340    0    0 34928     0 3561 21081  1  2 70 27  0
 0 17 142828 2466100 169380 1243900    0    0 139824    20 8253 59567  1  3 56 40  0
 0 17 142828 2476024 169380 1239716    0    0 144048     0 7407 54510  0  3 56 40  0
 9 18 142828 2479936 169380 1248140    0    0 35984     0 3344 19047  1  1 61 37  0
 3 16 142828 2467092 169380 1244132    0    0 134728     0 7159 51192  0  2 61 36  0
 0 17 142828 2475616 169380 1240064    0    0 147320     0 8151 59081  0  3 61 36  0
 3 18 142828 2481000 169380 1246952    0    0 44920    20 3664 19842  1  2 62 35  0
 3 15 142828 2465240 169380 1244588    0    0 126896     0 7434 54453  1  2 62 35  0
 2 17 142828 2463760 169380 1243972    0    0 150860     0 8426 57802  1  3 61 36  0
 0 17 142828 2473924 169380 1239264    0    0 140780     0 7134 54237  0  2 59 38  0
 7 16 142828 2479436 169380 1247916    0    0 32960     0 3442 19474  1  1 59 38  0
 0 17 142828 2464384 169380 1243908    0    0 138184    24 7156 52510  0  3 60 37  0
 0 17 142828 2471248 169380 1240768    0    0 145752     0 7969 57864  0  3 60 36  0
 9 17 142828 2474692 169380 1249064    0    0 49524     0 3685 23144  1  2 58 39  0
 1 17 142828 2462088 169380 1245204    0    0 120668     0 6508 50396  1  2 67 31  0
 2 16 142828 2469140 169380 1240924    0    0 148680     0 7940 59824  1  3 63 34  0
18 14 142828 2470828 169388 1246944    0    0 53896    28 4340 24521  1  2 67 30  0
 1 16 142828 2457260 169388 1245296    0    0 122528     0 7438 50201  1  2 64 34  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 17 142828 2463888 169388 1241824    0    0 144616     9 8018 54745  0  3 68 29  0
 1 17 142828 2466064 169388 1239952    0    0 142144     3 7303 51197  0  2 64 33  0
 2 15 142828 2448912 169388 1248548    0    0 25352     0 3020 17009  1  1 65 33  0
 0 17 142828 2460252 169388 1242536    0    0 148292    28 8667 59727  1  4 64 32  0
 1 16 142828 2468240 169388 1239900    0    0 144048     0 7720 51000  0  3 64 33  0
 2 18 142828 2474468 169388 1247616    0    0 37268   293 3112 18714  1  1 64 33  0
 1 17 142828 2460844 169388 1244484    0    0 131940     3 7659 53015  1  2 61 37  0
 1 16 142828 2466840 169388 1241492    0    0 146936     0 8167 55970  0  3 58 38  0
 1 16 142828 2460300 169396 1239780    0    0 143104    72 7991 52829  0  3 58 39  0
16 17 142828 2457644 169396 1247072    0    0 49536     0 3562 19737  1  2 59 38  0
 1 16 142828 2448724 169396 1246808    0    0 121840     0 7076 50153  1  2 57 41  0
 1 16 142828 2456228 169396 1243524    0    0 145744     0 9046 59330  1  3 65 32  0
 0 17 142828 2467220 169396 1239908    0    0 141384     0 7811 54052  0  3 66 31  0
 0 17 142828 2450784 169400 1246284    0    0 25208    20 2517 14597  1  1 67 31  0
 2 18 142828 2454872 169400 1244332    0    0 144580     0 8206 57458  0  3 54 43  0
 1 17 142828 2458524 169400 1239208    0    0 178000     0 10801 70495  0  3 59 38  0
42 15 142828 2462952 169400 1247120    0    0 27428     0 2043 12117  1  1 66 33  0
